Package,Developer,Upgrade to be done (Y/N/To be removed),Is some confirmation required (Y/N),Confirmation done  (Y/N),2.0 EXT pkg present in either SPECS or EXT of 3.0-dev (Y/N),2.0 EXT pkg present in EXT of 3.0-dev(Y/N),"Confirm if removal is deliberate (Y/N) (If N in both Column F and Column G, here we put Y.  A Y here means we must check with Microsoft if this is a deliberate removal of the package)","Moved from EXT in 2.0 to Core in 3.0-dev (Y/N) (If Y in Column F and N in Column G, then this is Y)",Remarks,"Priority (P0, P1, P2)",New Name of Package,Package added to Azure Linux 3.0-dev
tmpwatch,,,N,N,Y,Y,N,N,,,NA,N
tn5250,Archana,,N,N,Y,Y,N,N,,P0,NA,N
tofrodos,,,N,N,Y,Y,N,N,,,NA,N
tpm-quote-tools,,,N,N,N,N,Y,N,,,NA,N
tpm-tools,,,N,N,N,N,Y,N,,,NA,N
trilead-ssh2,,,N,N,Y,Y,N,N,,,NA,N
tss2,Archana,,N,N,Y,Y,N,N,,P0,NA,N
ttmkfdir,,,N,N,Y,Y,N,N,,,NA,N
twolame,Archana,,N,N,Y,Y,N,N,,P0,NA,N
uchardet,Archana,,N,N,Y,Y,N,N,,P0,NA,N
ucpp,,,N,N,Y,Y,N,N,,,NA,N
ucs-miscfixed-fonts,,,N,N,Y,Y,N,N,,,NA,N
udftools,Archana,,N,N,Y,Y,N,N,,P0,NA,N
udica,,,N,N,Y,Y,N,N,,,NA,N
udisks2,,,N,N,Y,Y,N,N,,,NA,N
uglify-js,,,N,N,Y,Y,N,N,,,NA,N
umoci,,,N,N,Y,Y,N,N,,,NA,N
unicode-emoji,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
unicode-ucd,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
unique3,,,N,N,Y,Y,N,N,,,NA,N
units,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
upower,,,N,N,Y,Y,N,N,,,NA,N
uriparser,Sumit,,N,N,Y,Y,N,N,,CP_batch1,NA,N
urlview,,,N,N,Y,Y,N,N,,,NA,N
usb_modeswitch,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
usb_modeswitch-data,,,N,N,Y,Y,N,N,,,NA,N
usbguard,,,N,N,Y,Y,N,N,,,NA,N
usbmuxd,,,N,N,Y,Y,N,N,,,NA,N
usermode,,,N,N,Y,N,N,Y,,,NA,N
ustr,,,N,N,Y,Y,N,N,,,NA,N
uthash,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
uw-imap,Akarsh,,N,N,Y,Y,N,N,,CP_batch1,NA,N
v4l-utils,Jyoti,,N,N,Y,Y,N,N,,,NA,N
vhostmd,,,N,N,Y,Y,N,N,,,NA,N
vino,,,N,N,Y,Y,N,N,,,NA,N
virt-p2v,Archana,,N,N,Y,Y,N,N,,CP_batch1,NA,N
virt-top,Jagadeesh,,N,N,Y,Y,N,N,,P0,NA,N
virt-who,,,N,N,Y,Y,N,N,,,NA,N
vmem,,,N,N,Y,Y,N,N,,,NA,N
volume_key,Jyoti,Override_to_Y,N,N,Y,Y,N,N,Picked up by Jyoti as a dependency for libblockdev.,P1,NA,N
vorbis-tools,,,N,N,Y,Y,N,N,,,NA,N
watchdog,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N
wavpack,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N
web-assets,,,N,N,Y,Y,N,N,,,NA,N
webrtc-audio-processing,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N
whois,Akarsh,,N,N,Y,Y,N,N,,P0,NA,N
wireshark,Sumit,,N,N,Y,Y,N,N,,,NA,N
woff2,,,N,N,Y,Y,N,N,,,NA,N
